pdf_path,district,subdistrict,station,eligible_voters,ballots_issued,valid_ballots,spoiled_ballots,no_vote_ballots,total_votes
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลห้วยแห้ง/หน่วยเลือกตั้งที่ 5/ส.ส.5ทับ18.pdf,อำเภอบ้านไร่,ตำบลห้วยแห้ง,หน่วยเลือกตั้งที่ 5,292.0,,279.0,10.0,,279.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลห้วยแห้ง/หน่วยเลือกตั้งที่ 6/ส.ส.5ทับ18.pdf,อำเภอบ้านไร่,ตำบลห้วยแห้ง,หน่วยเลือกตั้งที่ 6,,,239.0,5.0,,239.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลห้วยแห้ง/หน่วยเลือกตั้งที่ 7/ส.ส.5ทับ18.pdf,อำเภอบ้านไร่,ตำบลห้วยแห้ง,หน่วยเลือกตั้งที่ 7,259.0,,238.0,10.0,,254.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลห้วยแห้ง/หน่วยเลือกตั้งที่ 8/ส.ส.5ทับ18.pdf,อำเภอบ้านไร่,ตำบลห้วยแห้ง,หน่วยเลือกตั้งที่ 8,240.0,,166.0,4.0,,166.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลห้วยแห้ง/หน่วยเลือกตั้งที่ 9/ส.ส.5ทับ18.pdf,อำเภอบ้านไร่,ตำบลห้วยแห้ง,หน่วยเลือกตั้งที่ 9,,,154.0,9.0,,154.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลเจ้าวัด/หน่วยเลือกตั้งที่ 1/ส.ส.5ทับ18  1.pdf,อำเภอบ้านไร่,ตำบลเจ้าวัด,หน่วยเลือกตั้งที่ 1,415.0,,381.0,16.0,,381.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลเจ้าวัด/หน่วยเลือกตั้งที่ 2/ส.ส.5ทับ18  2.pdf,อำเภอบ้านไร่,ตำบลเจ้าวัด,หน่วยเลือกตั้งที่ 2,129.0,,121.0,6.0,,121.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลเจ้าวัด/หน่วยเลือกตั้งที่ 3/ส.ส.5ทับ18  3.pdf,อำเภอบ้านไร่,ตำบลเจ้าวัด,หน่วยเลือกตั้งที่ 3,,,229.0,16.0,,209.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลเจ้าวัด/หน่วยเลือกตั้งที่ 4/ส.ส.5ทับ18 4.pdf,อำเภอบ้านไร่,ตำบลเจ้าวัด,หน่วยเลือกตั้งที่ 4,,,327.0,12.0,,327.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลเจ้าวัด/หน่วยเลือกตั้งที่ 5/ส.ส.5ทับ18  5.pdf,อำเภอบ้านไร่,ตำบลเจ้าวัด,หน่วยเลือกตั้งที่ 5,580.0,,201.0,14.0,,301.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลเจ้าวัด/หน่วยเลือกตั้งที่ 6/ส.ส.5ทับ18  6.pdf,อำเภอบ้านไร่,ตำบลเจ้าวัด,หน่วยเลือกตั้งที่ 6,460.0,,238.0,18.0,,238.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลเจ้าวัด/หน่วยเลือกตั้งที่ 7/ส.ส.5ทับ18  7.pdf,อำเภอบ้านไร่,ตำบลเจ้าวัด,หน่วยเลือกตั้งที่ 7,,,,26.0,,154.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลเมืองการุ้ง/หน่วยเลือกตั้งที่ 1/ส.ส.5ทับ18.pdf,อำเภอบ้านไร่,ตำบลเมืองการุ้ง,หน่วยเลือกตั้งที่ 1,161.0,,146.0,9.0,,146.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลเมืองการุ้ง/หน่วยเลือกตั้งที่ 10/ส.ส.5ทับ18.pdf,อำเภอบ้านไร่,ตำบลเมืองการุ้ง,หน่วยเลือกตั้งที่ 10,,,299.0,21.0,,50.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลเมืองการุ้ง/หน่วยเลือกตั้งที่ 11/ส.ส.5ทับ18.pdf,อำเภอบ้านไร่,ตำบลเมืองการุ้ง,หน่วยเลือกตั้งที่ 11,292.0,,151.0,15.0,,169.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลเมืองการุ้ง/หน่วยเลือกตั้งที่ 12/ส.ส.5ทับ18.pdf,อำเภอบ้านไร่,ตำบลเมืองการุ้ง,หน่วยเลือกตั้งที่ 12,236.0,,216.0,18.0,,216.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลเมืองการุ้ง/หน่วยเลือกตั้งที่ 13/ส.ส.5ทับ18.pdf,อำเภอบ้านไร่,ตำบลเมืองการุ้ง,หน่วยเลือกตั้งที่ 13,73.0,,161.0,4.0,,153.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลเมืองการุ้ง/หน่วยเลือกตั้งที่ 2/ส.ส.5ทับ18.pdf,อำเภอบ้านไร่,ตำบลเมืองการุ้ง,หน่วยเลือกตั้งที่ 2,460.0,,227.0,9.0,,224.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลเมืองการุ้ง/หน่วยเลือกตั้งที่ 3/ส.ส.5ทับ18.pdf,อำเภอบ้านไร่,ตำบลเมืองการุ้ง,หน่วยเลือกตั้งที่ 3,216.0,,199.0,7.0,,199.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลเมืองการุ้ง/หน่วยเลือกตั้งที่ 4/5ทับ18 หน่วย 4 ต.การุ้ง.pdf,อำเภอบ้านไร่,ตำบลเมืองการุ้ง,หน่วยเลือกตั้งที่ 4,307.0,,309.0,289.0,,289.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลเมืองการุ้ง/หน่วยเลือกตั้งที่ 5/5ทับ18 หน่วย 5 ต.การุ้ง.pdf,อำเภอบ้านไร่,ตำบลเมืองการุ้ง,หน่วยเลือกตั้งที่ 5,,,126.0,3.0,,126.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลเมืองการุ้ง/หน่วยเลือกตั้งที่ 6/ส.ส.5ทับ18.pdf,อำเภอบ้านไร่,ตำบลเมืองการุ้ง,หน่วยเลือกตั้งที่ 6,,,182.0,6.0,,
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลเมืองการุ้ง/หน่วยเลือกตั้งที่ 7/ส.ส.5ทับ18.pdf,อำเภอบ้านไร่,ตำบลเมืองการุ้ง,หน่วยเลือกตั้งที่ 7,207.0,,185.0,11.0,,165.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลเมืองการุ้ง/หน่วยเลือกตั้งที่ 8/ส.ส.5ทับ18.pdf,อำเภอบ้านไร่,ตำบลเมืองการุ้ง,หน่วยเลือกตั้งที่ 8,,,193.0,6.0,,193.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลเมืองการุ้ง/หน่วยเลือกตั้งที่ 9/ส.ส.5ทับ18.pdf,อำเภอบ้านไร่,ตำบลเมืองการุ้ง,หน่วยเลือกตั้งที่ 9,205.0,,290.0,5.0,,190.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลแก่นมะกรูด/หน่วยเลือกตั้งที่ 1/ส.ส.5ทับ18.pdf,อำเภอบ้านไร่,ตำบลแก่นมะกรูด,หน่วยเลือกตั้งที่ 1,281.0,,254.0,27.0,,254.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลแก่นมะกรูด/หน่วยเลือกตั้งที่ 2/ส.ส.5ทับ18.pdf,อำเภอบ้านไร่,ตำบลแก่นมะกรูด,หน่วยเลือกตั้งที่ 2,420.0,,269.0,54.0,,269.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลแก่นมะกรูด/หน่วยเลือกตั้งที่ 3/ส.ส.5ทับ18.pdf,อำเภอบ้านไร่,ตำบลแก่นมะกรูด,หน่วยเลือกตั้งที่ 3,375.0,,378.0,29.0,,
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลแก่นมะกรูด/หน่วยเลือกตั้งที่ 4/ส.ส.5ทับ18.pdf,อำเภอบ้านไร่,ตำบลแก่นมะกรูด,หน่วยเลือกตั้งที่ 4,453.0,,340.0,11.0,,340.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอลานสัก/ตำบลทุ่งนางาม/หน่วยเลือกตั้งที่ 12/5ทับ18.pdf,อำเภอลานสัก,ตำบลทุ่งนางาม,หน่วยเลือกตั้งที่ 12,500.0,,280.0,11.0,,280.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอลานสัก/ตำบลทุ่งนางาม/หน่วยเลือกตั้งที่ 4/5ทับ18 4 ทุ่งนางาม.pdf,อำเภอลานสัก,ตำบลทุ่งนางาม,หน่วยเลือกตั้งที่ 4,,,344.0,20.0,,344.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอลานสัก/ตำบลทุ่งนางาม/หน่วยเลือกตั้งที่ 5/5ทับ18 5 ทุ่งนางาม.pdf,อำเภอลานสัก,ตำบลทุ่งนางาม,หน่วยเลือกตั้งที่ 5,,,224.0,10.0,,224.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอลานสัก/ตำบลทุ่งนางาม/หน่วยเลือกตั้งที่ 6/5ทับ18 6 ทุ่งนางาม.pdf,อำเภอลานสัก,ตำบลทุ่งนางาม,หน่วยเลือกตั้งที่ 6,,,233.0,20.0,,233.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอลานสัก/ตำบลทุ่งนางาม/หน่วยเลือกตั้งที่ 7/5ทับ18 7 ทุ่งนางาม.pdf,อำเภอลานสัก,ตำบลทุ่งนางาม,หน่วยเลือกตั้งที่ 7,,,324.0,12.0,,324.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอลานสัก/ตำบลป่าอ้อ/หน่วยเลือกตั้งที่ 12/5ทับ18 12 ป่าอ้อ.pdf,อำเภอลานสัก,ตำบลป่าอ้อ,หน่วยเลือกตั้งที่ 12,,,245.0,15.0,,245.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอลานสัก/ตำบลป่าอ้อ/หน่วยเลือกตั้งที่ 5/5ทับ18 5 ป่าอ้อ.pdf,อำเภอลานสัก,ตำบลป่าอ้อ,หน่วยเลือกตั้งที่ 5,357.0,,338.0,11.0,,338.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอลานสัก/ตำบลระบำ/หน่วยเลือกตั้งที่ 10/5ทับ18 10 ระบำ.pdf,อำเภอลานสัก,ตำบลระบำ,หน่วยเลือกตั้งที่ 10,460.0,,214.0,13.0,,214.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอลานสัก/ตำบลระบำ/หน่วยเลือกตั้งที่ 11/5ทับ18 11 ระบำ.pdf,อำเภอลานสัก,ตำบลระบำ,หน่วยเลือกตั้งที่ 11,282.0,,1616.0,108.0,,256.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลทัพหลวง/หน่วยเลือกตั้งที่ 5/ส.ส.5ทับ18 5.pdf,อำเภอบ้านไร่,ตำบลทัพหลวง,หน่วยเลือกตั้งที่ 5,489.0,,321.0,10.0,,321.0
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลบ้านบึง/หน่วยเลือกตั้งที่ 6/ส.ส.5ทับ18.pdf,อำเภอบ้านไร่,ตำบลบ้านบึง,หน่วยเลือกตั้งที่ 6,370.0,,186.0,15.0,,
/home/chatrin/Documents/Chat/CU/Year-3/2110446_DSDE_2025s2/final-project/source/เขตเลือกตั้งที่ 2/อำเภอบ้านไร่/ตำบลบ้านไร่/หน่วยเลือกตั้งที่ 6/ส.ส.5ทับ18.pdf,อำเภอบ้านไร่,ตำบลบ้านไร่,หน่วยเลือกตั้งที่ 6,,,422.0,18.0,,422.0
